iter	MultiClass	Accuracy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8	F1:class=9
89	1.161022151	0.6588449742	0.6196219035	0.6547598405	0.6453997809	0.7398177921	0.6481000124	0.6667561401	0.6775926181	0.6521208422	0.652765711	0.6162528217
90	1.154208394	0.6629245993	0.6240026054	0.6598756906	0.6518052516	0.7428571429	0.6501117457	0.6719740926	0.678385059	0.6575217193	0.6556233653	0.6230349695
91	1.149473397	0.6658758174	0.6275783661	0.6626276614	0.6550398242	0.7459444966	0.6538318221	0.6765618675	0.6812251064	0.6589560189	0.6570596798	0.625698324
92	1.147488037	0.6661072855	0.6270884023	0.6632052613	0.6561340844	0.7461765495	0.654265873	0.6760183437	0.6810736407	0.6595615104	0.6596889083	0.623521892
93	1.143057913	0.6681904982	0.629599611	0.6658599827	0.6577643172	0.7479521955	0.6561569017	0.6760335045	0.6833631485	0.6626065773	0.6609529343	0.6281439032
94	1.137488694	0.6720965222	0.6316639742	0.6697626419	0.6614389875	0.751813054	0.6576330184	0.6846749016	0.6851724612	0.6699236641	0.6640522876	0.6316459726
95	1.137083176	0.6724437243	0.6320556364	0.6699914015	0.6618982118	0.7525177924	0.6576363862	0.6848534202	0.6858084902	0.6705308115	0.663858222	0.6320318725
96	1.135884776	0.6735431977	0.6340122858	0.6733218589	0.6626240353	0.7529538131	0.6583820057	0.6842890064	0.687646008	0.6718440688	0.664244186	0.6335245379
97	1.130121042	0.6764654823	0.6381461676	0.6769812618	0.6666666667	0.7551432029	0.6602977667	0.6866440678	0.6923710209	0.6725555894	0.6668606343	0.6367398918
98	1.124733275	0.6790405648	0.644962747	0.6789996574	0.6661141042	0.7556153329	0.6615308151	0.6910966341	0.6943375481	0.6743691092	0.6710220674	0.6410828025
99	1.123000009	0.6804293733	0.6446921958	0.6801577774	0.6680480729	0.7557529269	0.6635141862	0.6948829614	0.6950315674	0.6748671222	0.6721763085	0.6437440306
100	1.119716865	0.6827151207	0.6479509519	0.6810330084	0.6711836283	0.7585464334	0.6647578738	0.6961491359	0.6961660025	0.6803340926	0.6747022945	0.6451407667
101	1.11553077	0.684885134	0.6514931396	0.6860841424	0.6748483177	0.7581664202	0.6667495648	0.6990740741	0.6963451498	0.6812718698	0.6764577577	0.6476891092
102	1.11270545	0.6865922111	0.6536663981	0.6870956759	0.6755898993	0.7605861003	0.6669158879	0.6998910675	0.7001237454	0.6833206398	0.6809005084	0.647199617
103	1.109398223	0.6880099531	0.6542116283	0.6890326975	0.6796411318	0.762301694	0.6683279342	0.7029608405	0.7001790387	0.6832317073	0.6818313532	0.6475644699
