iter	F1:class=0_TP	F1:class=0_TP+FP	F1:class=0_TP+FN	F1:class=1_TP	F1:class=1_TP+FP	F1:class=1_TP+FN	F1:class=2_TP	F1:class=2_TP+FP	F1:class=2_TP+FN	F1:class=3_TP	F1:class=3_TP+FP	F1:class=3_TP+FN	F1:class=4_TP	F1:class=4_TP+FP	F1:class=4_TP+FN	F1:class=5_TP	F1:class=5_TP+FP	F1:class=5_TP+FN	F1:class=6_TP	F1:class=6_TP+FP	F1:class=6_TP+FN	F1:class=7_TP	F1:class=7_TP+FP	F1:class=7_TP+FN	F1:class=8_TP	F1:class=8_TP+FP	F1:class=8_TP+FN	F1:class=9_TP	F1:class=9_TP+FP	F1:class=9_TP+FN
146	167	1559	2601	167	372	1901	797	2707	2858	1126	1708	1373	662	2091	2120	1859	4600	2563	18	514	1145	85	283	1239	1129	3384	2428	49	3175	2165
147	167	1576	2601	169	376	1901	777	2634	2858	1126	1705	1373	650	2053	2120	1848	4561	2563	14	525	1145	86	289	1239	1114	3381	2428	56	3293	2165
148	168	1589	2601	167	371	1901	779	2637	2858	1128	1709	1373	652	2055	2120	1842	4546	2563	15	571	1145	85	289	1239	1071	3332	2428	55	3294	2165
149	165	1583	2601	166	372	1901	765	2580	2858	1128	1706	1373	648	2042	2120	1849	4568	2563	15	577	1145	87	290	1239	1068	3341	2428	55	3334	2165
150	162	1583	2601	165	372	1901	742	2521	2858	1127	1704	1373	645	2031	2120	1854	4608	2563	16	578	1145	87	290	1239	1069	3341	2428	55	3365	2165
151	161	1614	2601	167	377	1901	723	2454	2858	1126	1701	1373	634	1984	2120	1851	4560	2563	20	715	1145	88	299	1239	936	3217	2428	55	3472	2165
152	157	1604	2601	171	389	1901	725	2461	2858	1126	1699	1373	635	1993	2120	1847	4550	2563	20	721	1145	88	298	1239	930	3209	2428	55	3469	2165
153	157	1628	2601	170	384	1901	701	2417	2858	1125	1700	1373	616	1962	2120	1844	4545	2563	25	806	1145	87	302	1239	850	3135	2428	52	3514	2165
154	158	1661	2601	171	387	1901	700	2396	2858	1124	1696	1373	619	1957	2120	1842	4544	2563	26	825	1145	88	305	1239	833	3122	2428	49	3500	2165
155	157	1691	2601	167	377	1901	672	2307	2858	1124	1694	1373	579	1870	2120	1843	4492	2563	29	844	1145	89	308	1239	816	3109	2428	50	3701	2165
156	159	1728	2601	166	377	1901	647	2254	2858	1124	1691	1373	575	1846	2120	1842	4478	2563	29	849	1145	90	311	1239	811	3112	2428	47	3747	2165
157	160	1740	2601	168	379	1901	623	2205	2858	1125	1690	1373	576	1832	2120	1846	4496	2563	29	883	1145	90	310	1239	782	3083	2428	46	3775	2165
